1,10,86383010fe,8
2,4,532a4e15bb,56
3,3,279b837456,38
4,4,7191977793,17
5,2,71ad491b7b,67
6,8,935b51a4b8,22
7,2,49d665e84c,63
8,2,52c87d569c,98
9,9,b0d136e7e3,17
10,4,5c74c3b751,95
11,5,a7158ae9d0,58
12,9,47cc52fb4d,11
13,9,4ec58455f0,8
14,1,d9c979e4ce,39
15,4,f6dcafac09,56
16,1,b8ba977736,27
17,3,5a9188eaa5,28
18,9,8345d4f441,46
19,7,339e706532,54
20,4,02c5cf24e5,6
21,6,9599f4fae2,9
22,4,eee07a2391,4
23,7,aea77fc5b0,44
24,9,a584d14d9d,95
25,3,41c872823b,31
26,6,b204d18d1b,36
27,7,989e4bfd62,31
28,8,905e9cec3e,92
29,9,06b0f02cb3,68
30,4,bb8ff4f29c,53
31,7,6236873672,58
32,9,14438d95bb,41
33,4,275b168bb9,7
34,5,6b46eb7c8b,25
35,6,470ae7cf74,19
36,9,482217baad,5
37,1,029df15e79,21
38,8,971843d9f3,21
39,8,105d8b7d58,99
40,5,bcb9910e3f,0
41,2,dfc00351bc,70
42,4,cf67e0f4e6,41
43,7,b54d7274ea,76
44,6,76d121690b,70
45,3,93667a1795,9
46,8,859f034612,29
47,2,8721abf9b6,40
48,2,9229fae64e,33
49,9,d21194ff82,10
50,3,105b8ae114,78
51,3,1d305d10c5,1
52,4,23ee9e4005,59
53,6,5f533ad44c,69
54,5,af047a6f19,38
55,2,31744a3e71,84
56,8,6476140287,95
57,9,837db09d11,17
58,7,ffa361d1e6,31
59,4,65f3dc0a27,81
60,8,e8a8e282ad,54
61,9,37c124ca2c,52
62,3,848059cc6a,24
63,4,8004019b76,2
64,10,b8e208c03d,21
65,8,28130f22fb,12
66,6,d6673b515f,63
67,2,1ef7f9193b,14
68,9,5531cad9ee,79
69,8,c8b3d17ea1,11
70,1,b738f29cc5,10
71,3,2cf9ce9377,61
72,3,e93d65b25a,5
73,6,9ecc0f0bb1,83
74,3,1b45e996f4,91
75,2,78ec16b9ff,98
76,2,1e17411006,9
77,9,7887ca33d6,29
78,6,30ad82f055,97
79,3,1d2a6418f2,81
80,2,2364e39fcd,78
81,9,04a6fc513d,97
82,6,3b7fd7b7fa,24
83,6,92170550a7,39
84,9,819bd095fc,52
85,8,9435bbbfbb,37
86,7,9f74dde045,64
87,5,c43c33de32,47
88,9,6ab82f9c93,9
89,5,43175131ba,66
90,3,1d1ec4607a,75
91,7,a3681e5c8a,33
92,3,7b4b871b9b,94
93,7,743b817d3f,16
94,5,48db08d64f,72
95,2,a8dbaad291,26
